epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
56,9883.71,0.90636,1.26483,0.53932,0.00278,1.42782,0.93525,0.92799,0.9656,0.74193,0.93475,0.92748,0.96466,0.69065,0.91378,1.3156,0.41459,0.0048,0,0.000721791,0.000240597,0.000721791,0.000240597,0.000721791,0.000240597,0.000721791,0.000240597
57,10047.8,0.91989,1.28852,0.53899,0.00284,1.39989,0.93659,0.93077,0.96598,0.7435,0.93659,0.92934,0.96518,0.6906,0.91476,1.31556,0.41145,0.00482,0,0.000720187,0.000240062,0.000720187,0.000240062,0.000720187,0.000240062,0.000720187,0.000240062
58,10215.6,0.91545,1.29447,0.54564,0.00283,1.40659,0.93939,0.93373,0.9666,0.74387,0.94035,0.9323,0.96542,0.69297,0.91351,1.31358,0.40862,0.00481,0,0.000718583,0.000239528,0.000718583,0.000239528,0.000718583,0.000239528,0.000718583,0.000239528
59,10379.1,0.92034,1.28235,0.53133,0.00284,1.43743,0.93875,0.92787,0.96557,0.74181,0.93957,0.92666,0.96447,0.69287,0.92006,1.32077,0.41382,0.00484,0,0.00071698,0.000238993,0.00071698,0.000238993,0.00071698,0.000238993,0.00071698,0.000238993
60,10540.8,0.92685,1.29593,0.55258,0.00288,1.43589,0.94129,0.92419,0.96629,0.74346,0.94114,0.92403,0.96533,0.69042,0.91417,1.31964,0.41174,0.00482,0,0.000715376,0.000238459,0.000715376,0.000238459,0.000715376,0.000238459,0.000715376,0.000238459
61,10701.9,0.92206,1.2824,0.53731,0.00285,1.42051,0.94257,0.9231,0.96587,0.74078,0.94236,0.92289,0.96474,0.69301,0.9192,1.31671,0.41285,0.00486,0,0.000713772,0.000237924,0.000713772,0.000237924,0.000713772,0.000237924,0.000713772,0.000237924
62,10863.1,0.91699,1.28268,0.52632,0.00283,1.39885,0.93512,0.93264,0.9658,0.7411,0.93512,0.93198,0.96475,0.69387,0.91734,1.31935,0.41129,0.00482,0,0.000712168,0.000237389,0.000712168,0.000237389,0.000712168,0.000237389,0.000712168,0.000237389
63,11024.8,0.91401,1.26684,0.52777,0.00281,1.38899,0.94195,0.93084,0.96663,0.74393,0.94118,0.93009,0.96519,0.6913,0.91374,1.31383,0.40684,0.0048,0,0.000710564,0.000236855,0.000710564,0.000236855,0.000710564,0.000236855,0.000710564,0.000236855
64,11186,0.92231,1.28414,0.52592,0.00286,1.40728,0.93709,0.93352,0.96681,0.74274,0.9371,0.93229,0.96551,0.69327,0.91418,1.32086,0.40934,0.00481,0,0.000708961,0.00023632,0.000708961,0.00023632,0.000708961,0.00023632,0.000708961,0.00023632
65,11345.7,0.90876,1.27789,0.52145,0.00281,1.39379,0.9387,0.93421,0.96625,0.74355,0.93853,0.93378,0.96522,0.69245,0.9151,1.31791,0.40799,0.00481,0,0.000707357,0.000235786,0.000707357,0.000235786,0.000707357,0.000235786,0.000707357,0.000235786
